FVT,BaseType,Test_label,Test_col_used,LCL,UCL,N_total,N_out_of_limits,Percent_out_of_limits
FVT9,CW,Get AngleB,Get AngleB,247.5,248.0602,496,94,0.18951612903225806
FVT9,CW,Get AngleC,Get AngleC,270.0,270.6021,496,94,0.18951612903225806
FVT9,CW,Get AngleD,Get AngleD,292.5,292.6821,494,92,0.1862348178137652
FVT9,CW,Get AngleE,Get AngleE,315.0,315.0288,487,85,0.17453798767967146
FVT9,CW,Get AngleF,Get AngleF,337.5,337.5,402,0,0.0
FVT90,CD,Get Angle0,Get_Angle0,0.0,0.0,1833,0,0.0
FVT90,CD,Get Angle1,Get_Angle1,30.0,32.72727299999998,1833,154,0.08401527550463721
FVT90,CD,Get Angle2,Get_Angle2,60.0,65.45454500000002,1833,11,0.006001091107474086
FVT90,CD,Get Angle3,Get_Angle3,90.0,98.181818,1833,11,0.006001091107474086
FVT90,CD,Get Angle4,Get_Angle4,120.0,130.909091,1833,11,0.006001091107474086
FVT90,CD,Get Angle5,Get_Angle5,150.0,163.636364,1833,11,0.006001091107474086
FVT90,CD,Get Angle6,Get_Angle6,180.0,196.363636,1833,11,0.006001091107474086
FVT90,CD,Get Angle7,Get_Angle7,210.0,229.090909,1833,11,0.006001091107474086
FVT90,CD,Get Angle8,Get_Angle8,240.0,261.818182,1833,11,0.006001091107474086
FVT90,CD,Get Angle9,Get_Angle9,270.0,294.5454550000001,1833,11,0.006001091107474086
FVT90,CD,Get AngleA,Get_AngleA,300.0,327.272727,1822,0,0.0
FVT90,CD,Get AngleB,Get_AngleB,330.0,330.0,1679,0,0.0
FVT90,CW,Get Angle0,Get_Angle0,0.0,0.0,1235,0,0.0
FVT90,CW,Get Angle1,Get_Angle1,30.0,32.72692,1235,57,0.046153846153846156
FVT90,CW,Get Angle2,Get_Angle2,60.0,65.45396,1234,56,0.04538087520259319
FVT90,CW,Get Angle3,Get_Angle3,90.0,98.181,1234,56,0.04538087520259319
FVT90,CW,Get Angle4,Get_Angle4,120.0,130.909,1234,56,0.04538087520259319
FVT90,CW,Get Angle5,Get_Angle5,150.0,163.635,1234,56,0.04538087520259319
FVT90,CW,Get Angle6,Get_Angle6,180.0,196.3636,1234,56,0.04538087520259319
FVT90,CW,Get Angle7,Get_Angle7,210.0,229.0888,1233,55,0.04460665044606651
FVT90,CW,Get Angle8,Get_Angle8,240.0,261.8114,1233,55,0.04460665044606651
FVT90,CW,Get Angle9,Get_Angle9,270.0,294.5429,1232,54,0.04383116883116883
FVT90,CW,Get AngleA,Get_AngleA,300.0,327.2179,1228,50,0.04071661237785016
FVT90,CW,Get AngleB,Get_AngleB,330.0,330.0,1178,0,0.0
FVT100,CD,Get Angle0,Get_Angle0,0.0,0.0,1652,0,0.0
FVT100,CD,Get Angle1,Get_Angle1,30.0,30.0,1652,14,0.00847457627118644
FVT100,CD,Get Angle2,Get_Angle2,60.0,60.0,1652,14,0.00847457627118644
FVT100,CD,Get Angle3,Get_Angle3,90.0,90.0,1651,13,0.007874015748031496
FVT100,CD,Get Angle4,Get_Angle4,120.0,120.0,1651,13,0.007874015748031496
FVT100,CD,Get Angle5,Get_Angle5,150.0,150.0,1651,13,0.007874015748031496
FVT100,CD,Get Angle6,Get_Angle6,180.0,180.0,1651,13,0.007874015748031496
FVT100,CD,Get Angle7,Get_Angle7,210.0,210.0,1651,13,0.007874015748031496
FVT100,CD,Get Angle8,Get_Angle8,240.0,240.0,1650,12,0.007272727272727273
FVT100,CD,Get Angle9,Get_Angle9,270.0,270.0,1650,12,0.007272727272727273
FVT100,CD,Get AngleA,Get_AngleA,300.0,300.0,1648,10,0.006067961165048544
FVT100,CD,Get AngleB,Get_AngleB,330.0,330.0,1638,0,0.0
FVT100,CW,Get Angle0,Get_Angle0,0.0,0.0,1366,0,0.0
FVT100,CW,Get Angle1,Get_Angle1,30.0,30.0,1367,8,0.005852231163130944
FVT100,CW,Get Angle2,Get_Angle2,60.0,60.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle3,Get_Angle3,90.0,90.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle4,Get_Angle4,120.0,120.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle5,Get_Angle5,150.0,150.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle6,Get_Angle6,180.0,180.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle7,Get_Angle7,210.0,210.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle8,Get_Angle8,240.0,240.0,1366,8,0.005856515373352855
FVT100,CW,Get Angle9,Get_Angle9,270.0,270.0,1366,8,0.005856515373352855
FVT100,CW,Get AngleA,Get_AngleA,300.0,300.0,1366,8,0.005856515373352855
FVT100,CW,Get AngleB,Get_AngleB,330.0,330.0,1363,0,0.0
FVT110,CD,Get Angle0,Get_Angle0,0.0,0.0,429,0,0.0
FVT110,CD,Get Angle1,Get_Angle1,30.0,30.0,429,2,0.004662004662004662
FVT110,CD,Get Angle2,Get_Angle2,60.0,60.0,429,2,0.004662004662004662
FVT110,CD,Get Angle3,Get_Angle3,90.0,90.0,429,2,0.004662004662004662
FVT110,CD,Get Angle4,Get_Angle4,120.0,120.0,429,2,0.004662004662004662
FVT110,CD,Get Angle5,Get_Angle5,150.0,150.0,429,2,0.004662004662004662
FVT110,CD,Get Angle6,Get_Angle6,180.0,180.0,429,2,0.004662004662004662
FVT110,CD,Get Angle7,Get_Angle7,210.0,210.0,429,2,0.004662004662004662
FVT110,CD,Get Angle8,Get_Angle8,240.0,240.0,429,2,0.004662004662004662
FVT110,CD,Get Angle9,Get_Angle9,270.0,270.0,429,2,0.004662004662004662
FVT110,CD,Get AngleA,Get_AngleA,300.0,300.0,429,2,0.004662004662004662
FVT110,CD,Get AngleB,Get_AngleB,330.0,330.0,427,0,0.0
FVT110,CW,Get Angle0,Get_Angle0,0.0,0.0,598,0,0.0
FVT110,CW,Get Angle1,Get_Angle1,30.0,30.18233183641499,598,13,0.021739130434782608
FVT110,CW,Get Angle2,Get_Angle2,60.0,60.32571815467499,598,13,0.021739130434782608
FVT110,CW,Get Angle3,Get_Angle3,90.0,90.52318635200997,598,13,0.021739130434782608
FVT110,CW,Get Angle4,Get_Angle4,120.0,120.691363642125,598,13,0.021739130434782608
FVT110,CW,Get Angle5,Get_Angle5,150.0,150.86618184128,598,13,0.021739130434782608
FVT110,CW,Get Angle6,Get_Angle6,180.0,180.97756361464,598,13,0.021739130434782608
FVT110,CW,Get Angle7,Get_Angle7,210.0,211.1478409036249,598,13,0.021739130434782608
FVT110,CW,Get Angle8,Get_Angle8,240.0,241.3676727386699,598,13,0.021739130434782608
FVT110,CW,Get Angle9,Get_Angle9,270.0,271.4680636635499,598,13,0.021739130434782608
FVT110,CW,Get AngleA,Get_AngleA,300.0,300.8410227188625,597,12,0.020100502512562814
FVT110,CW,Get AngleB,Get_AngleB,330.0,330.0,588,3,0.00510204081632653
